,id,food_id,nutrient_id,amount,min,max,median
172,2219879,321359,1329,0.06,,,
173,2219955,321359,2032,0.0,0.0,0.0,0.0
174,2219892,321359,1014,0.0,0.0,0.0,0.0
175,2219827,321359,1167,0.112,0.09,0.14,0.12
176,2219962,321359,1119,0.0,0.0,0.0,0.0
177,2219950,321359,1312,0.0,0.0,0.0,0.0
178,2219980,321359,1085,1.64,,,
179,2219982,321359,1105,83.0,56.0,115.0,86.0
180,2219835,321359,1262,0.049,0.041,0.057,0.05
181,2219920,321359,1098,0.001,0.0,0.006,0.0
182,2219976,321359,2023,0.0,,,
183,2219914,321359,1004,1.9,1.68,2.06,1.92
184,2219981,321359,1100,39.6,19.9,103.0,34.4
185,2219872,321359,1221,0.099,0.09,0.11,0.1
186,2219934,321359,2019,0.0,0.0,0.0,0.0
187,2219967,321359,1199,1.2,1.0,1.3,1.2
188,2219953,321359,2005,0.0,0.0,0.0,0.0
189,2219826,321359,1103,1.8,0.0,4.6,1.5
190,2219853,321359,1280,0.001,0.0,0.002,0.001
191,2219838,321359,1263,0.058,0.049,0.069,0.058
192,2219933,321359,1321,0.0,0.0,0.001,0.0
193,2219864,321359,1224,0.801,0.72,0.87,0.82
194,2219910,321359,1087,126.0,111.0,134.0,126.0
195,2219850,321359,1260,0.032,0.026,0.035,0.032
196,2219930,321359,1303,0.005,0.004,0.005,0.005
197,2219972,321359,2016,0.052,,,
198,2219951,321359,2003,0.0,0.0,0.0,0.0
199,2219917,321359,1090,12.0,10.3,13.2,12.1
200,2219927,321359,2008,0.001,0.0,0.001,0.001
201,2219839,321359,1273,0.001,0.001,0.002,0.001
202,2219836,321359,1267,0.002,0.002,0.002,0.002
203,2219969,321359,1330,0.009,,,
204,2219916,321359,1089,0.0,0.0,0.0,0.0
205,2219941,321359,2006,0.0,0.0,0.0,0.0
206,2219855,321359,1264,0.181,0.158,0.2,0.181
207,2219977,321359,2024,0.001,,,
208,2219830,321359,1007,0.75,0.48,1.1,0.7
209,2219901,321359,1177,2.0,0.0,7.0,0.0
210,2219841,321359,1323,0.003,0.0,0.004,0.003
211,2219832,321359,1299,0.019,0.016,0.023,0.02
212,2219978,321359,2025,0.0,,,
213,2219869,321359,1214,0.293,0.26,0.32,0.295
214,2219971,321359,2010,0.003,,,
215,2219949,321359,1301,0.0,0.0,0.001,0.0
216,2219859,321359,1211,0.162,0.14,0.18,0.16
217,2219829,321359,1003,3.35,3.0,3.7,3.32
218,2219862,321359,1218,0.165,0.15,0.19,0.165
219,2219959,321359,1121,0.0,0.0,1.0,0.0
220,2219898,321359,1127,0.0,0.0,0.0,0.0
221,2219943,321359,2014,0.0,0.0,0.0,0.0
222,2219887,321359,1128,0.0,0.0,0.0,0.0
223,2219908,321359,1227,0.197,0.18,0.22,0.2
224,2219840,321359,1316,0.045,0.0,0.064,0.048
225,2219844,321359,1404,0.007,0.005,0.009,0.006
226,2219860,321359,1215,0.089,0.08,0.1,0.09
227,2219947,321359,1411,0.0,0.0,0.001,0.0
228,2219847,321359,1265,0.512,0.438,0.614,0.514
229,2219843,321359,1333,0.0,0.0,0.0,0.0
230,2219912,321359,1095,0.43,0.36,0.48,0.43
231,2219929,321359,1281,0.003,0.002,0.003,0.003
232,2219968,321359,1063,4.89,,,
233,2219918,321359,1091,103.0,91.0,111.0,104.0
234,2219946,321359,2021,0.0,0.0,0.0,0.0
